date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-02-28,250.0,650.0,5.0,935327.0,,,10.750584649871982,15469.710905862787,
2020-02-29,238.0,888.0,4.0,935331.0,,,14.686952567825108,15469.777063306787,
2020-03-01,240.0,1128.0,8.0,935339.0,,,18.656399207777838,15469.909378194785,
2020-03-02,561.0,1689.0,6.0,935345.0,,,27.93498072866735,15470.008614360782,
2020-03-03,347.0,2036.0,17.0,935362.0,,,33.67413899559901,15470.28978349778,
2020-03-04,466.0,2502.0,28.0,935390.0,,,41.38148122150723,15470.752885605774,
2020-03-05,587.0,3089.0,27.0,935417.0,,,51.09008612839162,15471.199448352769,
2020-03-06,769.0,3858.0,41.0,935458.0,,,63.80885473724016,15471.87756215376,
2020-03-07,778.0,4636.0,49.0,935507.0,,,76.67647759508694,15472.68799084275,
2020-03-08,1247.0,5883.0,36.0,935543.0,,,97.30106076184134,15473.283407838744,
2020-03-09,1492.0,7375.0,133.0,935676.0,,,121.97778737354749,15475.483142851717,
2020-03-10,1797.0,9172.0,98.0,935774.0,,,151.69901909019356,15477.1040002297,
2020-03-11,977.0,10149.0,167.0,935941.0,,,167.85797478700115,15479.866073516665,
2020-03-12,2313.0,12462.0,196.0,936137.0,,,206.1135167795456,15483.107788272628,
2020-03-13,2651.0,15113.0,189.0,936326.0,,,249.95936279002348,15486.23372750159,
2020-03-14,2547.0,17660.0,252.0,936578.0,,,292.0851152565219,15490.40164647354,
2020-03-15,3497.0,21157.0,173.0,936751.0,,,349.9232606728331,15493.262955926506,
2020-03-16,2823.0,23980.0,370.0,937121.0,,,396.6138767752771,15499.382519496434,
2020-03-17,4000.0,27980.0,347.0,937468.0,,,462.7713207744893,15505.121677763365,
2020-03-18,3526.0,31506.0,347.0,937815.0,,,521.0891076597949,15510.860836030297,
2020-03-19,4207.0,35713.0,473.0,938288.0,,,590.6701993859663,15518.683953783204,
2020-03-20,5322.0,41035.0,429.0,938717.0,,,678.6926786269181,15525.77933965212,
2020-03-21,5986.0,47021.0,625.0,939342.0,,,777.6972935717392,15536.116440276995,
2020-03-22,6557.0,53578.0,795.0,940137.0,,,886.1458836474478,15549.265232271839,
2020-03-23,5560.0,59138.0,649.0,940786.0,,,978.1047308063527,15559.999277560712,
2020-03-24,4789.0,63927.0,601.0,941387.0,,,1057.3117306344095,15569.939433521593,
2020-03-25,5249.0,69176.0,743.0,942130.0,,,1144.1268365223757,15582.228178744446,
2020-03-26,5210.0,74386.0,685.0,942815.0,,,1230.2969073313495,15593.557641029312,
2020-03-27,6153.0,80539.0,660.0,943475.0,,,1332.0635955631378,15604.473619289181,
2020-03-28,5959.0,86498.0,971.0,944446.0,,,1430.6216477609642,15620.53333881999,
2020-03-29,5974.0,92472.0,887.0,945333.0,,,1529.4277903737875,15635.203752026817,
2020-03-30,5217.0,97689.0,758.0,946091.0,,,1615.71363670976,15647.740587664666,
2020-03-31,4050.0,101739.0,810.0,946901.0,,,1682.6980487589624,15661.137470074507,
2020-04-01,4053.0,105792.0,839.0,947740.0,,,1749.7320788911643,15675.013993953342,
2020-04-02,4782.0,110574.0,727.0,948467.0,,,1828.8233031922223,15687.038109400199,
2020-04-03,4668.0,115242.0,760.0,949227.0,,,1906.029040339303,15699.608023760049,
2020-04-04,4585.0,119827.0,764.0,949991.0,,,1981.8620105234,15712.2440955639,
2020-04-05,4805.0,124632.0,681.0,950672.0,,,2061.3336401274537,15723.507400404764,
2020-04-06,4316.0,128948.0,527.0,951199.0,,,2132.7175222026035,15732.223643651661,
2020-04-07,3599.0,132547.0,636.0,951835.0,,,2192.242682440895,15742.742677247536,
2020-04-08,3039.0,135586.0,604.0,952439.0,,,2242.5058005192964,15752.732451291417,
2020-04-09,3836.0,139422.0,540.0,952979.0,,,2305.9507893145405,15761.66370623131,
2020-04-10,4204.0,143626.0,612.0,953591.0,,,2375.482262957713,15771.78579516319,
2020-04-11,3951.0,147577.0,570.0,954161.0,,,2440.8292782679346,15781.213230933077,
2020-04-12,4694.0,152271.0,619.0,954780.0,,,2518.46503880101,15791.451095391956,
2020-04-13,4092.0,156363.0,431.0,955211.0,,,2586.144104012204,15798.57955998287,
2020-04-14,3153.0,159516.0,564.0,955775.0,,,2638.2927092445834,15807.90775958676,
2020-04-15,2972.0,162488.0,604.0,956379.0,,,2687.447690135998,15817.897533630641,
2020-04-16,2667.0,165155.0,578.0,956957.0,,,2731.5581659224727,15827.457284288526,
2020-04-17,3786.0,168941.0,525.0,957482.0,,,2794.176186667727,15836.140448813423,
2020-04-18,3493.0,172434.0,575.0,958057.0,,,2851.948174640039,15845.65058138831,
2020-04-19,3491.0,175925.0,480.0,958537.0,,,2909.6870838903515,15853.589474668215,
2020-04-20,3047.0,178972.0,433.0,958970.0,7841.0,7841.0,2960.082516856751,15860.75101798113,129.6851295994557
2020-04-21,2256.0,181228.0,454.0,959424.0,28095.0,35936.0,2997.395315272307,15868.259887875041,594.3584768889224
2020-04-22,2729.0,183957.0,534.0,959958.0,44248.0,80184.0,3042.5312314407697,15877.091906648935,1326.1921224082078
2020-04-23,3370.0,187327.0,437.0,960395.0,37083.0,117267.0,3098.2688780101057,15884.319607405849,1939.521246363904
2020-04-24,2646.0,189973.0,464.0,960859.0,95273.0,212540.0,3142.0320272155845,15891.993870909759,3515.2757868981403
2020-04-25,3021.0,192994.0,420.0,961279.0,38676.0,251216.0,3191.99743679599,15898.940402529675,4154.952112926523
2020-04-26,2357.0,195351.0,415.0,961694.0,24113.0,275329.0,3230.9807106725257,15905.804237344593,4553.765724714774
2020-04-27,2324.0,197675.0,260.0,961954.0,26678.0,302007.0,3269.418185636068,15910.104471204542,4995.0027974675195
2020-04-28,1739.0,199414.0,333.0,962287.0,37554.0,339561.0,3298.180134414725,15915.612078417476,5616.121960454123
2020-04-29,2091.0,201505.0,382.0,962669.0,38589.0,378150.0,3332.7639382653133,15921.930114319402,6254.359362075523
2020-04-30,2086.0,203591.0,323.0,962992.0,41441.0,419591.0,3367.2650453109027,15927.272327922337,6939.7670212683615
2020-05-01,1872.0,205463.0,285.0,963277.0,43732.0,463323.0,3398.226729102534,15931.986045807282,7663.066356511748
2020-05-02,1965.0,207428.0,269.0,963546.0,31231.0,494554.0,3430.726573467147,15936.43513391623,8179.607139896597
2020-05-03,1900.0,209328.0,474.0,964020.0,27047.0,521601.0,3462.151359366773,15944.274791030135,8626.94723685827
2020-05-04,1389.0,210717.0,174.0,964194.0,22999.0,544600.0,3485.124531795499,15947.152639844102,9007.33600049274
2020-05-05,1221.0,211938.0,195.0,964389.0,32211.0,576811.0,3505.319091576259,15950.377815239062,9540.085357657397
2020-05-06,1075.0,213013.0,236.0,964625.0,37771.0,614582.0,3523.0989046510467,15954.281104435016,10164.793561980958
2020-05-07,1444.0,214457.0,369.0,964994.0,13665.0,628247.0,3546.9817419347623,15960.384128643944,10390.803930043267
2020-05-08,1401.0,215858.0,274.0,965268.0,45428.0,673675.0,3570.1533866954865,15964.91591355789,11142.15402154232
2020-05-09,1327.0,217185.0,243.0,965511.0,36091.0,709766.0,3592.1011187422255,15968.934978280842,11739.076099386211
2020-05-10,1083.0,218268.0,194.0,965705.0,31384.0,741150.0,3610.013246705012,15972.143614314804,12258.14740500403
2020-05-11,802.0,219070.0,165.0,965870.0,25823.0,766973.0,3623.277814226854,15974.872608879772,12685.243324101944
2020-05-12,744.0,219814.0,179.0,966049.0,39620.0,806593.0,3635.5830988107073,15977.833154498736,13340.532806914141
2020-05-13,1402.0,221216.0,172.0,966221.0,37049.0,843642.0,3658.7712829324314,15980.677924590702,13953.299592595844
2020-05-14,888.0,222104.0,195.0,966416.0,41131.0,884773.0,3673.4582355002563,15983.903099985664,14633.580049878743
2020-05-15,992.0,223096.0,262.0,966678.0,39027.0,923800.0,3689.865281612061,15988.236412567612,15279.061691618057
2020-05-16,789.0,223885.0,242.0,966920.0,40657.0,964457.0,3702.9148374409056,15992.238937929564,15951.502491787049
2020-05-17,875.0,224760.0,153.0,967073.0,33505.0,997962.0,3717.3867783157334,15994.769460162534,16505.65378208545
2020-05-18,675.0,225435.0,145.0,967218.0,26101.0,1024063.0,3728.5508469906003,15997.167667507505,16937.34764354131
2020-05-19,451.0,225886.0,99.0,967317.0,40226.0,1064289.0,3736.0100988015115,15998.805064246486,17602.659979119388
2020-05-20,813.0,226699.0,162.0,967479.0,38617.0,1102906.0,3749.4565992943517,16001.484440728455,18241.36048284878
2020-05-21,665.0,227364.0,161.0,967640.0,40644.0,1143550.0,3760.4552743592203,16004.147277849423,18913.586271324777
2020-05-22,642.0,228006.0,156.0,967796.0,42987.0,1186537.0,3771.073544121094,16006.727418165392,19624.56378262331
2020-05-23,652.0,228658.0,130.0,967926.0,42579.0,1229116.0,3781.8572074929657,16008.877535095366,20328.793234633926
2020-05-24,669.0,229327.0,119.0,968045.0,34206.0,1263322.0,3792.922040001834,16010.845719054343,20894.538616993188
2020-05-25,531.0,229858.0,50.0,968095.0,20676.0,1283998.0,3801.7044406927293,16011.672687104334,21236.506445025116
